Run,num_deployments,num_species,num_observations_per_deployment,Window_Size_mean,Mean_Asymptote_Ratio,Window_Size_inverse,Ratio_Exceeded_Threshold
1,4,30,10000,140,1,140,1
2,4,30,10000,140,1,140,1
3,4,30,10000,140,1,140,1
4,4,30,10000,140,1,140,1
5,4,30,10000,140,1,140,1
6,4,30,10000,140,1,140,1
7,4,30,10000,140,1,140,1
8,4,30,10000,140,1,140,1
9,4,30,10000,140,1,140,1
10,4,30,10000,91,0.75,140,1
11,4,30,10000,140,1,140,1
12,4,30,10000,140,1,140,1
13,4,30,10000,140,1,140,1
14,4,30,10000,140,1,140,1
15,4,30,10000,140,1,140,1
16,4,30,10000,140,1,140,1
17,4,30,10000,140,1,140,1
18,4,30,10000,140,1,140,1
19,4,30,10000,140,1,140,1
20,4,30,10000,98,0.8333333333333334,140,1
21,4,30,10000,140,1,140,1
22,4,30,10000,140,1,140,1
23,4,30,10000,63,0.9,91,1
24,4,30,10000,56,0.625,98,1
25,4,30,10000,42,0.5625,77,0.75
26,4,30,10000,70,0.75,91,0.75
27,4,30,10000,140,1,140,1
28,4,30,10000,140,1,140,1
29,4,30,10000,140,1,140,1
30,4,30,10000,63,0.8,77,0.75
31,4,30,10000,98,0.75,140,1
32,4,30,10000,140,1,140,1
33,4,30,10000,140,1,140,1
34,4,30,10000,140,1,140,1
35,4,30,10000,77,0.75,140,1
36,4,30,10000,140,1,140,1
37,4,30,10000,140,1,140,1
38,4,30,10000,140,1,140,1
39,4,30,10000,140,1,140,1
40,4,30,10000,112,0.9166666666666666,140,1
41,4,30,10000,140,1,140,1
42,4,30,10000,140,1,140,1
43,4,30,10000,140,1,140,1
44,4,30,10000,91,0.9375,98,1
45,4,30,10000,98,0.75,140,1
46,4,30,10000,98,1,98,1
47,4,30,10000,140,1,140,1
48,4,30,10000,140,1,140,1
49,4,30,10000,140,1,140,1
50,4,30,10000,140,1,140,1
51,4,30,10000,70,0.7,140,1
52,4,30,10000,140,1,140,1
53,4,30,10000,42,0.71875,63,1
54,4,30,10000,140,1,140,1
55,4,30,10000,140,1,140,1
56,4,30,10000,140,1,140,1
57,4,30,10000,98,0.8333333333333334,140,1
58,4,30,10000,140,1,140,1
59,4,30,10000,140,1,140,1
60,4,30,10000,140,1,140,1
61,4,30,10000,84,0.6875,140,1
62,4,30,10000,98,0.8333333333333334,140,1
63,4,30,10000,140,1,140,1
64,4,30,10000,140,1,140,1
65,4,30,10000,98,0.8333333333333334,140,1
66,4,30,10000,70,0.5,140,1
67,4,30,10000,140,1,140,1
68,4,30,10000,140,1,140,1
69,4,30,10000,70,0.75,126,1
70,4,30,10000,140,1,140,1
71,4,30,10000,140,1,140,1
72,4,30,10000,140,1,140,1
73,4,30,10000,140,1,140,1
74,4,30,10000,140,1,140,1
75,4,30,10000,140,1,140,1
76,4,30,10000,70,0.6,140,1
77,4,30,10000,77,0.8125,105,1
78,4,30,10000,77,0.625,140,1
79,4,30,10000,140,1,140,1
80,4,30,10000,70,0.75,105,1
81,4,30,10000,140,1,140,1
82,4,30,10000,140,1,140,1
83,4,30,10000,98,1,98,1
84,4,30,10000,98,0.8333333333333334,140,1
85,4,30,10000,77,0.8125,91,0.75
86,4,30,10000,140,1,140,1
87,4,30,10000,56,0.7916666666666666,70,0.8
88,4,30,10000,140,1,140,1
89,4,30,10000,140,1,140,1
90,4,30,10000,77,0.75,119,1
91,4,30,10000,42,0.5625,91,1
92,4,30,10000,49,0.5357142857142857,140,1
93,4,30,10000,49,0.7857142857142857,84,1
94,4,30,10000,140,1,140,1
95,4,30,10000,140,1,140,1
96,4,30,10000,91,0.8125,140,1
97,4,30,10000,140,1,140,1
98,4,30,10000,105,0.8333333333333334,140,1
99,4,30,10000,140,1,140,1
100,4,30,10000,105,0.9166666666666666,133,1
