Run,num_deployments,num_species,num_observations_per_deployment,Window_Size_mean,Mean_Asymptote_Ratio,Window_Size_inverse,Ratio_Exceeded_Threshold
1,4,50,5000,14,1,14,1
2,4,50,5000,14,1,14,1
3,4,50,5000,14,1,14,1
4,4,50,5000,14,0.9807692307692307,14,0.9230769230769231
5,4,50,5000,14,1,14,1
6,4,50,5000,14,1,14,1
7,4,50,5000,14,1,14,1
8,4,50,5000,14,1,14,1
9,4,50,5000,14,0.9903846153846154,14,0.9615384615384616
10,4,50,5000,14,1,14,1
11,4,50,5000,14,1,14,1
12,4,50,5000,14,0.9903846153846154,14,0.9615384615384616
13,4,50,5000,14,1,14,1
14,4,50,5000,14,1,14,1
15,4,50,5000,14,1,14,1
16,4,50,5000,14,1,14,1
17,4,50,5000,14,1,14,1
18,4,50,5000,14,1,14,1
19,4,50,5000,14,1,14,1
20,4,50,5000,14,1,14,1
21,4,50,5000,14,0.9903846153846154,14,0.9615384615384616
22,4,50,5000,14,1,14,1
23,4,50,5000,14,1,14,1
24,4,50,5000,14,1,14,1
25,4,50,5000,14,1,14,1
26,4,50,5000,14,0.9903846153846154,14,0.9615384615384616
27,4,50,5000,14,1,14,1
28,4,50,5000,14,1,14,1
29,4,50,5000,14,1,14,1
30,4,50,5000,14,1,14,1
31,4,50,5000,14,1,14,1
32,4,50,5000,14,1,14,1
33,4,50,5000,14,1,14,1
34,4,50,5000,14,1,14,1
35,4,50,5000,14,1,14,1
36,4,50,5000,14,1,14,1
37,4,50,5000,14,1,14,1
38,4,50,5000,14,0.9903846153846154,14,0.9615384615384616
39,4,50,5000,14,1,14,1
40,4,50,5000,14,1,14,1
41,4,50,5000,14,1,14,1
42,4,50,5000,14,0.9903846153846154,14,0.9615384615384616
43,4,50,5000,14,0.9615384615384616,14,0.8461538461538461
44,4,50,5000,14,1,14,1
45,4,50,5000,14,1,14,1
46,4,50,5000,14,0.9807692307692307,14,0.9230769230769231
47,4,50,5000,14,1,14,1
48,4,50,5000,14,0.9423076923076923,14,0.8076923076923077
49,4,50,5000,14,1,14,1
50,4,50,5000,14,1,14,1
51,4,50,5000,14,1,14,1
52,4,50,5000,14,1,14,1
53,4,50,5000,14,1,14,1
54,4,50,5000,14,1,14,1
55,4,50,5000,14,1,14,1
56,4,50,5000,14,1,14,1
57,4,50,5000,14,1,14,1
58,4,50,5000,14,0.9807692307692307,14,0.9230769230769231
59,4,50,5000,14,0.9711538461538461,14,0.9230769230769231
60,4,50,5000,14,1,14,1
61,4,50,5000,14,0.9903846153846154,14,0.9615384615384616
62,4,50,5000,14,1,14,1
63,4,50,5000,14,1,14,1
64,4,50,5000,14,1,14,1
65,4,50,5000,14,1,14,1
66,4,50,5000,14,1,14,1
67,4,50,5000,14,1,14,1
68,4,50,5000,14,1,14,1
69,4,50,5000,14,0.9423076923076923,14,0.7692307692307693
70,4,50,5000,14,1,14,1
71,4,50,5000,14,1,14,1
72,4,50,5000,14,0.9903846153846154,14,0.9615384615384616
73,4,50,5000,14,1,14,1
74,4,50,5000,14,0.9615384615384616,14,0.8846153846153846
75,4,50,5000,14,1,14,1
76,4,50,5000,14,1,14,1
77,4,50,5000,14,1,14,1
78,4,50,5000,14,0.9903846153846154,14,0.9615384615384616
79,4,50,5000,14,0.9903846153846154,14,0.9615384615384616
80,4,50,5000,14,1,14,1
81,4,50,5000,14,1,14,1
82,4,50,5000,14,1,14,1
83,4,50,5000,14,0.8269230769230769,14,0.5384615384615384
84,4,50,5000,14,0.9807692307692307,14,0.9230769230769231
85,4,50,5000,14,1,14,1
86,4,50,5000,14,1,14,1
87,4,50,5000,14,1,14,1
88,4,50,5000,14,1,14,1
89,4,50,5000,14,0.9903846153846154,14,0.9615384615384616
90,4,50,5000,14,1,14,1
91,4,50,5000,14,1,14,1
92,4,50,5000,14,0.625,28,0.7692307692307693
93,4,50,5000,14,1,14,1
94,4,50,5000,14,0.9615384615384616,14,0.8461538461538461
95,4,50,5000,14,0.9615384615384616,14,0.8461538461538461
96,4,50,5000,14,0.9903846153846154,14,0.9615384615384616
97,4,50,5000,14,1,14,1
98,4,50,5000,14,1,14,1
99,4,50,5000,14,1,14,1
100,4,50,5000,14,0.9903846153846154,14,0.9615384615384616
