"num_species","num_observations_per_deployment","Threshold_Metric_mean","Threshold_Metric_sd","Mean_Metric_mean","Mean_Metric_sd","target"
5,1000,51.03,43.291694446866,23.94,30.049393681172,140
5,5000,21.14,29.5477767541166,9.38,8.96658217826592,140
5,10000,17.08,23.9058253329285,9.87,14.4212630612866,140
30,1000,125.37,41.8239830187843,138.67,13.3,140
30,5000,139.02,6.74945564583926,134.75,16.6298836527208,140
30,10000,131.95,18.8612022282502,117.88,31.9577625289786,140
50,1000,33.6,53.4680117717901,129.5,36.3185958434574,140
50,5000,140,0,139.58,4.2,140
50,10000,139.93,0.7,138.32,8.50772673170772,140
