Run,num_deployments,num_species,num_observations_per_deployment,Window_Size_mean,Mean_Asymptote_Ratio,Window_Size_inverse,Ratio_Exceeded_Threshold
1,4,5,1000,14,0.7692307692307693,21,0.8235294117647058
2,4,5,1000,21,0.39705882352941174,35,0.5
3,4,5,1000,35,0.525,35,0.5
4,4,5,1000,35,0.7,70,1
5,4,5,1000,35,0.925,35,0.7
6,4,5,1000,7,0.9230769230769231,7,0.7307692307692307
7,4,5,1000,7,0.9759615384615384,7,0.9038461538461539
8,4,5,1000,7,0.9903846153846154,7,0.9615384615384616
9,4,5,1000,14,0.5769230769230769,28,0.7692307692307693
10,4,5,1000,7,0.7259615384615384,14,0.7692307692307693
11,4,5,1000,21,0.36764705882352944,70,1
12,4,5,1000,14,0.5192307692307693,35,0.9
13,4,5,1000,7,0.9951923076923077,7,0.9807692307692307
14,4,5,1000,7,0.27884615384615385,63,1
15,4,5,1000,21,0.38235294117647056,70,1
16,4,5,1000,7,0.9615384615384616,7,0.8461538461538461
17,4,5,1000,7,0.4182692307692308,21,0.5882352941176471
18,4,5,1000,35,0.7,49,0.7142857142857143
19,4,5,1000,14,0.2980769230769231,35,0.5
20,4,5,1000,35,0.5,70,1
21,4,5,1000,21,0.7058823529411765,35,0.7
22,4,5,1000,21,0.45588235294117646,49,0.7142857142857143
23,4,5,1000,35,0.5,35,0.5
24,4,5,1000,21,0.6176470588235294,42,0.75
25,4,5,1000,7,0.5,14,0.5769230769230769
26,4,5,1000,7,0.6201923076923077,21,0.8823529411764706
27,4,5,1000,35,0.575,35,0.5
28,4,5,1000,7,0.9519230769230769,7,0.8076923076923077
29,4,5,1000,70,1,70,1
30,4,5,1000,7,0.9182692307692307,7,0.6923076923076923
31,4,5,1000,35,0.5,35,0.5
32,4,5,1000,14,0.5288461538461539,42,1
33,4,5,1000,7,0.4182692307692308,21,0.5882352941176471
34,4,5,1000,7,0.8028846153846154,14,0.9230769230769231
35,4,5,1000,14,0.46153846153846156,35,0.8
36,4,5,1000,7,0.33653846153846156,21,0.5294117647058824
37,4,5,1000,7,0.5769230769230769,14,0.5769230769230769
38,4,5,1000,7,0.42788461538461536,21,0.7647058823529411
39,4,5,1000,7,0.9759615384615384,7,0.9038461538461539
40,4,5,1000,7,0.3317307692307692,21,0.5882352941176471
41,4,5,1000,7,0.7836538461538461,14,0.8461538461538461
42,4,5,1000,21,0.5735294117647058,35,0.6
43,4,5,1000,28,0.6923076923076923,63,1
44,4,5,1000,21,0.45588235294117646,56,1
45,4,5,1000,7,0.75,14,0.8461538461538461
46,4,5,1000,35,0.75,63,1
47,4,5,1000,7,0.7067307692307693,14,0.8846153846153846
48,4,5,1000,70,1,70,1
49,4,5,1000,14,0.5480769230769231,28,0.6923076923076923
50,4,5,1000,21,0.6029411764705882,35,0.8
51,4,5,1000,7,0.7211538461538461,14,0.8461538461538461
52,4,5,1000,21,0.8529411764705882,35,1
53,4,5,1000,35,0.5,35,0.5
54,4,5,1000,7,0.7788461538461539,14,0.8846153846153846
55,4,5,1000,35,0.5,70,1
56,4,5,1000,7,0.5240384615384616,21,1
57,4,5,1000,7,0.7067307692307693,14,0.7307692307692307
58,4,5,1000,7,0.8990384615384616,7,0.6730769230769231
59,4,5,1000,7,0.9663461538461539,7,0.8846153846153846
60,4,5,1000,7,0.6394230769230769,14,0.6153846153846154
61,4,5,1000,7,0.9519230769230769,7,0.8269230769230769
62,4,5,1000,70,1,70,1
63,4,5,1000,21,0.3382352941176471,70,1
64,4,5,1000,35,0.5,35,0.5
65,4,5,1000,7,0.47115384615384615,14,0.46153846153846156
66,4,5,1000,7,0.875,7,0.5576923076923077
67,4,5,1000,35,0.5,35,0.5
68,4,5,1000,7,0.6586538461538461,14,0.7692307692307693
69,4,5,1000,7,0.7067307692307693,14,0.8461538461538461
70,4,5,1000,35,0.525,70,1
71,4,5,1000,14,0.3942307692307692,28,0.6153846153846154
72,4,5,1000,35,0.7,35,0.5
73,4,5,1000,7,0.6538461538461539,14,0.8461538461538461
74,4,5,1000,14,0.34615384615384615,70,1
75,4,5,1000,7,0.9855769230769231,7,0.9423076923076923
76,4,5,1000,14,0.7307692307692307,28,1
77,4,5,1000,14,0.6346153846153846,28,0.9230769230769231
78,4,5,1000,14,0.7307692307692307,28,0.9230769230769231
79,4,5,1000,7,0.6153846153846154,14,0.6923076923076923
80,4,5,1000,21,0.5147058823529411,56,1
81,4,5,1000,70,1,70,1
82,4,5,1000,35,0.5,70,1
83,4,5,1000,7,0.7692307692307693,14,0.8846153846153846
84,4,5,1000,7,0.42788461538461536,21,0.5882352941176471
85,4,5,1000,35,0.525,70,1
86,4,5,1000,35,0.575,70,1
87,4,5,1000,14,0.40384615384615385,35,0.7
88,4,5,1000,7,0.3076923076923077,35,0.9
89,4,5,1000,35,0.55,35,0.5
90,4,5,1000,7,0.6298076923076923,14,0.6153846153846154
91,4,5,1000,7,0.5048076923076923,28,0.9230769230769231
92,4,5,1000,14,0.7307692307692307,28,0.7692307692307693
93,4,5,1000,70,1,70,1
94,4,5,1000,7,0.8557692307692307,7,0.5384615384615384
95,4,5,1000,70,1,70,1
96,4,5,1000,7,0.9375,7,0.7692307692307693
97,4,5,1000,7,0.7644230769230769,14,0.8846153846153846
98,4,5,1000,70,1,70,1
99,4,5,1000,14,0.6346153846153846,21,0.5294117647058824
100,4,5,1000,7,0.9615384615384616,7,0.8653846153846154
