Run,num_deployments,num_species,num_observations_per_deployment,Window_Size_mean,Mean_Asymptote_Ratio,Window_Size_inverse,Ratio_Exceeded_Threshold
1,4,30,1000,70,1,70,1
2,4,30,1000,70,1,70,1
3,4,30,1000,70,0.95,70,0.8
4,4,30,1000,70,0.85,140,1
5,4,30,1000,70,0.7,140,1
6,4,30,1000,70,0.8,140,1
7,4,30,1000,70,1,70,1
8,4,30,1000,70,0.7,105,0.6666666666666666
9,4,30,1000,70,0.65,140,1
10,4,30,1000,70,1,70,1
11,4,30,1000,70,0.8,140,1
12,4,30,1000,70,1,70,1
13,4,30,1000,70,1,70,1
14,4,30,1000,70,0.85,70,0.6
15,4,30,1000,70,0.8,140,1
16,4,30,1000,70,0.55,119,0.6666666666666666
17,4,30,1000,70,0.9,70,0.6
18,4,30,1000,70,1,70,1
19,4,30,1000,70,0.85,126,1
20,4,30,1000,70,0.55,119,0.6666666666666666
21,4,30,1000,70,0.9,70,0.8
22,4,30,1000,70,1,70,1
23,4,30,1000,70,0.95,70,0.8
24,4,30,1000,70,0.95,70,0.8
25,4,30,1000,70,0.7,70,0.4
26,4,30,1000,70,0.3,7,0
27,4,30,1000,126,0.125,7,0
28,4,30,1000,70,0.95,70,0.8
29,4,30,1000,70,0.65,140,1
30,4,30,1000,70,1,70,1
31,4,30,1000,70,0.35,7,0
32,4,30,1000,119,0.5,7,0
33,4,30,1000,70,1,70,1
34,4,30,1000,70,1,70,1
35,4,30,1000,70,1,70,1
36,4,30,1000,70,0.65,140,1
37,4,30,1000,70,1,70,1
38,4,30,1000,70,1,70,1
39,4,30,1000,70,1,70,1
40,4,30,1000,70,1,70,1
41,4,30,1000,70,1,70,1
42,4,30,1000,70,0.7,140,0.5
43,4,30,1000,70,1,70,1
44,4,30,1000,70,0.9,70,0.8
45,4,30,1000,140,1,140,1
46,4,30,1000,70,0.95,70,0.8
47,4,30,1000,70,1,70,1
48,4,30,1000,70,0.95,70,0.8
49,4,30,1000,70,0.95,70,0.8
50,4,30,1000,70,1,70,1
51,4,30,1000,70,0.8,119,1
52,4,30,1000,140,0.375,7,0
53,4,30,1000,70,1,70,1
54,4,30,1000,119,0.8333333333333334,126,0.5
55,4,30,1000,70,0.9,70,0.6
56,4,30,1000,70,0.7,140,1
57,4,30,1000,140,0.375,7,0
58,4,30,1000,70,0.95,70,0.8
59,4,30,1000,70,0.9,70,0.8
60,4,30,1000,140,0.25,7,0
61,4,30,1000,70,0.75,119,1
62,4,30,1000,70,0.5,119,0.3333333333333333
63,4,30,1000,98,0.5,7,0
64,4,30,1000,70,0.95,77,1
65,4,30,1000,70,0.95,70,0.8
66,4,30,1000,70,1,70,1
67,4,30,1000,70,0.85,140,1
68,4,30,1000,70,0.65,140,1
69,4,30,1000,70,0.9,70,0.6
70,4,30,1000,105,0.3333333333333333,7,0
71,4,30,1000,70,0.9,70,0.6
72,4,30,1000,70,1,70,1
73,4,30,1000,70,0.85,140,1
74,4,30,1000,70,1,70,1
75,4,30,1000,70,1,70,1
76,4,30,1000,70,0.7,105,1
77,4,30,1000,70,0.95,70,0.8
78,4,30,1000,70,0.85,70,0.6
79,4,30,1000,70,0.9,70,0.6
80,4,30,1000,70,0.8,140,1
81,4,30,1000,70,0.7,140,1
82,4,30,1000,70,0.85,105,1
83,4,30,1000,70,0.95,70,0.8
84,4,30,1000,70,0.9,70,0.6
85,4,30,1000,70,1,70,1
86,4,30,1000,70,0.95,70,0.8
87,4,30,1000,70,0.9,70,0.6
88,4,30,1000,70,0.6,140,1
89,4,30,1000,70,0.9,105,1
90,4,30,1000,70,0.6,119,0.6666666666666666
91,4,30,1000,70,1,70,1
92,4,30,1000,70,1,70,1
93,4,30,1000,70,0.75,140,1
94,4,30,1000,70,1,70,1
95,4,30,1000,126,0.125,7,0
96,4,30,1000,70,0.85,105,1
97,4,30,1000,70,0.8,70,0.6
98,4,30,1000,7,0,7,0
99,4,30,1000,70,0.95,70,0.8
100,4,30,1000,70,0.85,70,0.6
