Run,num_deployments,num_species,num_observations_per_deployment,Window_Size_mean,Mean_Asymptote_Ratio,Window_Size_inverse,Ratio_Exceeded_Threshold
1,4,30,10000,70,1,70,1
2,4,30,10000,70,1,70,1
3,4,30,10000,28,0.5,70,1
4,4,30,10000,70,1,70,1
5,4,30,10000,70,1,70,1
6,4,30,10000,70,1,70,1
7,4,30,10000,70,1,70,1
8,4,30,10000,70,1,70,1
9,4,30,10000,70,1,70,1
10,4,30,10000,70,1,70,1
11,4,30,10000,70,1,70,1
12,4,30,10000,70,1,70,1
13,4,30,10000,35,0.525,70,1
14,4,30,10000,35,0.625,56,1
15,4,30,10000,70,1,70,1
16,4,30,10000,70,1,70,1
17,4,30,10000,70,1,70,1
18,4,30,10000,70,1,70,1
19,4,30,10000,63,0.9,70,1
20,4,30,10000,70,1,70,1
21,4,30,10000,70,1,70,1
22,4,30,10000,70,1,70,1
23,4,30,10000,70,1,70,1
24,4,30,10000,70,1,70,1
25,4,30,10000,70,1,70,1
26,4,30,10000,49,0.8571428571428571,56,0.8333333333333334
27,4,30,10000,70,1,70,1
28,4,30,10000,35,0.875,35,0.7
29,4,30,10000,70,1,70,1
30,4,30,10000,70,1,70,1
31,4,30,10000,70,1,70,1
32,4,30,10000,70,1,70,1
33,4,30,10000,70,1,70,1
34,4,30,10000,70,1,70,1
35,4,30,10000,70,1,70,1
36,4,30,10000,70,1,70,1
37,4,30,10000,70,1,70,1
38,4,30,10000,70,1,70,1
39,4,30,10000,70,1,70,1
40,4,30,10000,70,1,70,1
41,4,30,10000,49,0.75,70,1
42,4,30,10000,70,1,70,1
43,4,30,10000,35,0.5,70,1
44,4,30,10000,70,1,70,1
45,4,30,10000,70,1,70,1
46,4,30,10000,70,1,70,1
47,4,30,10000,70,1,70,1
48,4,30,10000,56,0.875,70,1
49,4,30,10000,70,1,70,1
50,4,30,10000,70,1,70,1
51,4,30,10000,70,1,70,1
52,4,30,10000,70,1,70,1
53,4,30,10000,70,1,70,1
54,4,30,10000,70,1,70,1
55,4,30,10000,70,1,70,1
56,4,30,10000,70,1,70,1
57,4,30,10000,70,1,70,1
58,4,30,10000,70,1,70,1
59,4,30,10000,56,0.8333333333333334,70,1
60,4,30,10000,70,1,70,1
61,4,30,10000,35,0.775,49,0.8571428571428571
62,4,30,10000,70,1,70,1
63,4,30,10000,70,1,70,1
64,4,30,10000,70,1,70,1
65,4,30,10000,70,1,70,1
66,4,30,10000,70,1,70,1
67,4,30,10000,70,1,70,1
68,4,30,10000,70,1,70,1
69,4,30,10000,70,1,70,1
70,4,30,10000,63,0.9,70,1
71,4,30,10000,70,1,70,1
72,4,30,10000,70,1,70,1
73,4,30,10000,35,0.55,70,1
74,4,30,10000,70,1,70,1
75,4,30,10000,70,1,70,1
76,4,30,10000,70,1,70,1
77,4,30,10000,70,1,70,1
78,4,30,10000,56,0.9166666666666666,56,0.8333333333333334
79,4,30,10000,70,1,70,1
80,4,30,10000,70,1,70,1
81,4,30,10000,70,1,70,1
82,4,30,10000,63,1,63,1
83,4,30,10000,49,0.7857142857142857,70,1
84,4,30,10000,70,1,70,1
85,4,30,10000,70,1,70,1
86,4,30,10000,70,1,70,1
87,4,30,10000,70,1,70,1
88,4,30,10000,70,1,70,1
89,4,30,10000,56,0.9166666666666666,70,1
90,4,30,10000,70,1,70,1
91,4,30,10000,70,1,70,1
92,4,30,10000,70,1,70,1
93,4,30,10000,70,1,70,1
94,4,30,10000,70,1,70,1
95,4,30,10000,70,1,70,1
96,4,30,10000,70,1,70,1
97,4,30,10000,70,1,70,1
98,4,30,10000,49,0.7142857142857143,70,1
99,4,30,10000,70,1,70,1
100,4,30,10000,70,1,70,1
