Run,num_deployments,num_species,num_observations_per_deployment,Window_Size_mean,Mean_Asymptote_Ratio,Window_Size_inverse,Ratio_Exceeded_Threshold
1,4,5,1000,7,0.8269230769230769,7,0.5384615384615384
2,4,5,1000,7,0.6826923076923077,14,1
3,4,5,1000,7,0.7403846153846154,14,1
4,4,5,1000,7,0.6490384615384616,14,1
5,4,5,1000,7,0.5144230769230769,14,1
6,4,5,1000,7,0.7836538461538461,7,0.5
7,4,5,1000,14,1,14,1
8,4,5,1000,7,0.8461538461538461,7,0.5769230769230769
9,4,5,1000,14,1,14,1
10,4,5,1000,7,0.6826923076923077,14,1
11,4,5,1000,7,0.8269230769230769,14,1
12,4,5,1000,14,1,14,1
13,4,5,1000,14,1,14,1
14,4,5,1000,7,0.5673076923076923,14,1
15,4,5,1000,14,1,14,1
16,4,5,1000,7,0.6586538461538461,14,1
17,4,5,1000,7,0.5336538461538461,14,1
18,4,5,1000,7,0.5192307692307693,14,1
19,4,5,1000,7,0.6730769230769231,14,1
20,4,5,1000,14,1,14,1
21,4,5,1000,7,0.7788461538461539,7,0.5
22,4,5,1000,14,1,14,1
23,4,5,1000,7,0.7596153846153846,7,0.5576923076923077
24,4,5,1000,14,1,14,1
25,4,5,1000,7,0.8605769230769231,7,0.6153846153846154
26,4,5,1000,7,0.7019230769230769,14,1
27,4,5,1000,14,1,14,1
28,4,5,1000,7,0.9278846153846154,7,0.75
29,4,5,1000,14,1,14,1
30,4,5,1000,14,1,14,1
31,4,5,1000,7,0.6730769230769231,14,1
32,4,5,1000,14,1,14,1
33,4,5,1000,7,0.5048076923076923,14,1
34,4,5,1000,14,1,14,1
35,4,5,1000,7,0.8461538461538461,7,0.6346153846153846
36,4,5,1000,14,1,14,1
37,4,5,1000,7,0.8990384615384616,7,0.6923076923076923
38,4,5,1000,7,0.9326923076923077,7,0.75
39,4,5,1000,7,0.7403846153846154,14,1
40,4,5,1000,7,0.9086538461538461,7,0.7307692307692307
41,4,5,1000,14,1,14,1
42,4,5,1000,14,1,14,1
43,4,5,1000,7,0.7403846153846154,14,1
44,4,5,1000,14,1,14,1
45,4,5,1000,7,0.5480769230769231,14,1
46,4,5,1000,7,0.8269230769230769,7,0.5769230769230769
47,4,5,1000,7,0.7644230769230769,14,1
48,4,5,1000,14,1,14,1
49,4,5,1000,7,0.7788461538461539,14,1
50,4,5,1000,7,0.7644230769230769,14,1
51,4,5,1000,14,1,14,1
52,4,5,1000,14,1,14,1
53,4,5,1000,7,0.8125,7,0.5
54,4,5,1000,7,0.5625,14,1
55,4,5,1000,7,0.6682692307692307,14,1
56,4,5,1000,7,0.7932692307692307,7,0.5576923076923077
57,4,5,1000,7,0.7307692307692307,14,1
58,4,5,1000,7,0.6634615384615384,14,1
59,4,5,1000,7,0.5961538461538461,14,1
60,4,5,1000,7,0.5528846153846154,14,1
61,4,5,1000,14,1,14,1
62,4,5,1000,14,1,14,1
63,4,5,1000,7,0.5913461538461539,14,1
64,4,5,1000,7,0.7259615384615384,14,1
65,4,5,1000,14,1,14,1
66,4,5,1000,14,1,14,1
67,4,5,1000,14,1,14,1
68,4,5,1000,7,0.7403846153846154,14,1
69,4,5,1000,14,1,14,1
70,4,5,1000,7,0.5961538461538461,14,1
71,4,5,1000,7,0.9519230769230769,7,0.8653846153846154
72,4,5,1000,7,0.7259615384615384,14,1
73,4,5,1000,7,0.8605769230769231,7,0.6346153846153846
74,4,5,1000,14,1,14,1
75,4,5,1000,7,0.5096153846153846,14,1
76,4,5,1000,14,1,14,1
77,4,5,1000,7,0.7644230769230769,14,1
78,4,5,1000,7,0.6153846153846154,14,1
79,4,5,1000,7,0.5769230769230769,14,1
80,4,5,1000,14,1,14,1
81,4,5,1000,14,1,14,1
82,4,5,1000,14,1,14,1
83,4,5,1000,14,1,14,1
84,4,5,1000,7,0.6682692307692307,14,1
85,4,5,1000,7,0.8605769230769231,7,0.5769230769230769
86,4,5,1000,7,0.6826923076923077,14,1
87,4,5,1000,7,0.5865384615384616,14,1
88,4,5,1000,7,0.8798076923076923,7,0.5769230769230769
89,4,5,1000,7,0.5096153846153846,14,1
90,4,5,1000,14,1,14,1
91,4,5,1000,7,0.5336538461538461,14,1
92,4,5,1000,14,1,14,1
93,4,5,1000,7,0.6826923076923077,14,1
94,4,5,1000,14,1,14,1
95,4,5,1000,7,0.8076923076923077,14,1
96,4,5,1000,7,0.8461538461538461,7,0.5961538461538461
97,4,5,1000,7,0.7692307692307693,7,0.5192307692307693
98,4,5,1000,14,1,14,1
99,4,5,1000,14,1,14,1
100,4,5,1000,14,1,14,1
